dlga_award_fief_to_vassal:award_fief_to_vassal_defer|I wish to defer the appointment of a lord, until I take the counsel of my subjects
dlga_investment_choose_enterprise:investment_summary.5|An ironworks, to make tools from iron
dlga_investment_choose_enterprise:investment_summary.6|A weavery and dyeworks, to make velvet from silk and dye
dlga_investment_choose_enterprise:investment_summary.7|A weavery, to make wool cloth from wool
dlga_investment_choose_enterprise:investment_summary.8|A weavery, to make linen from flax
dlga_investment_choose_enterprise:mayor_pretalk|Never mind
dlga_investment_summary:mayor_investment_confirm|Very good, sir. The land and the materials on which you may build your {s3} will cost you {reg7} denars. Right now, your {s3} will produce {s4} worth {reg1} denars each week, while the {s6} needed to manufacture that batch will be {reg2} and labor and upkeep will be {reg3}.{s9} I should guess that your profit would be {reg0} denars a week. This assumes of course that prices remain constant -- which, I can virtually guarantee you, they will not. Do you wish to proceed?
dlga_mayor_investment_confirm:mayor_investment_purchase|Yes. Here is money for the land.
dlga_mayor_investment_confirm:mayor_investment_advice|No -- that's not economical for me at the moment.
dlga_mayor_investment_purchase:mayor_pretalk|Very good. Your enterprise should be up and running in about a week. When next you come, and thereafter, you should speak to your {s4} about its operations.
dlga_mayor_talk:close_window|[Leave]
dlga_mayor_info_begin:mayor_info_talk|I am the guildmaster of {s9}. You can say I am the leader of the good people of {s9}. I can help you find a job if you are looking for some honest work.
dlga_mayor_info_talk:mayor_info_lord|Who rules this town?
dlga_mayor_info_lord:mayor_info_talk|Our town's lord and protector is {s10}. He owns the castle and sometimes resides there, and collects taxes from the town. However we regulate ourselves in most of the matters that concern ourselves. As the town's guildmaster I have the authority to decide those things.
dlga_mayor_info_talk:mayor_pretalk|That's all I need to know. Thanks.
dlga_mayor_political_talk:mayor_political_questions|Politics? Good heaven, the guild has nothing to do with politics. We are loyal servants of {s10}. We merely govern our own affairs, and pass on the townspeople's concerns to our lords and masters, and maybe warn them from time to time against evil advice. Anyway, what did you wish to ask?
dlga_mayor_prepolitics:mayor_political_questions|Did I mention that we here are all {s9}? Because I can't stress that enough... Anyway... Is there anything else?
dlga_mayor_political_questions:mayor_war_description_1|What is the cause of all these wars in Europe?
dlga_mayor_war_description_1:mayor_war_description_2|Well, to answer your question generally, each monarch claims to be the rightful heir to the old Calradic emperors. Some of these claims are based on forgotten dynastic marriages and others are based on obscure promises, while {s22} Rhodoks invoke the empire's unwritten constitution. So in theory, any one realm has the right to declare war on any other realm at any time.
dlga_mayor_war_description_2:mayor_war_description_3|In practice, to make war is exhausting work. It is easy enough to lay waste to the enemy's farmland, but crops will grow back, and it is a far different matter to capture an enemy stronghold and to hold it. So the monarchs of Europe will fight a little, sign a truce, fight a little more, and so on and so forth. Often, a monarch will go to war when another realm provokes them. At such times, some bad influences who look to enrich themselves with ransoms and pillage will clamor for retribution, and thus the damage caused by war to a monarch's treasury is less than the damage caused by doing nothing would be to his authority... I'm of course not talking about {s10}, as no one would ever question {reg4?her:his} authority
dlga_mayor_war_description_3:mayor_war_description_4|I would stress again that we in the guild have nothing to do with politics. But if {s10} were to ask for my advice on these matters, as a loyal subject, I would tell {reg4?her:him} that while {reg4?her:his} claim to all of Europe is truly just, even the most legitimate claim must be backed by armed men, and armed men want money, and money comes from trade, and war ruins trade, so sometimes the best way to push a claim is not to push it, if you know what I mean...
dlga_mayor_war_description_4:mayor_prepolitics|You may tell {s10} this if you see {reg4?her:him}. Don't mention my name specifically -- just say 'the people of {s4}' told you this. Our personal opinion, of course, as to what would be in {s10}'s best interests. None of us would ever dream of questioning a monarch's sovereign right to push {reg4?her:his} legitimate claims.
dlga_mayor_political_questions:mayor_politics_assess|What is {s10}'s policy in regards to the other realms of Europe?
dlga_mayor_politics_assess:mayor_politics_assess_realm|Which realm did you have in mind?
dlga_mayor_politics_assess_realm:mayor_politics_give_realm_assessment|{s11}
dlga_mayor_politics_give_realm_assessment:mayor_prepolitics|{s14}
dlga_mayor_political_questions:mayor_internal_politics|What can you say about the internal politics of the realms?
dlga_mayor_internal_politics:mayor_internal_politics_2|Well, here in the {s4} we are all united by our love for {s5} and support for {reg4?her:his} legitimate claim to the rulership of all Europe. But I have heard some talk of internal bickering in other realms...
dlga_mayor_internal_politics_2:mayor_internal_politics_3|The lords of a realm often have very different ideas about honor, strategy, and the way a nobleman should behave. In addition, they compete with each other for the ruler's favor, and are constantly weighing up their position -- how they stand, how their friends and family stand, and how their enemies stand.
dlga_mayor_internal_politics_3:mayor_internal_politics_4|Underlying all the tensions is the possibility that a lord may abandon his liege, and pledge vassalhood to another. In theory, each lord has sworn an oath of vassalage, but in practice, a vassal can always find an excuse to absolve himself. The vassal may claim that the liege has failed to hold up his end of the bargain, to protect the vassal and treat him justly. Or, the vassal may claim that his liege is in fact a usurper, and another has a better claim to the kingship.
dlga_mayor_internal_politics_4:mayor_internal_politics_5|Lieges and vassals still watch each other carefully. If a king believes that his vassal is going to change sides or rebel, he may indict the vassal for treason and seize his properties. Likewise, if a vassal fears that he will be indicted, he may rebel. Usually, whoever makes the first move will be able to control the vassal's fortresses.
dlga_mayor_internal_politics_5:mayor_prepolitics|Now, men do not trust a vassal who turns coat easily, nor do they trust a king who lightly throws around charges of treason. Those two factors can keep a realm together. But if relations between a vassal and a liege deteriorate far enough, things can become very tense indeed... In other lands, of course. These things could never happen here in the {s4}.
dlga_mayor_political_questions:mayor_pretalk|That is all. Thank you.
dlga_merchant_quest_about_job:merchant_quest_about_job_2|What about it?
dlga_merchant_quest_about_job_2:merchant_quest_what_if_fail|What if I can't finish it?
dlga_merchant_quest_about_job_2:merchant_quest_about_job_working|Well, I'm still working on it.
dlga_merchant_quest_about_job_working:mayor_pretalk|Good. I'm sure you will handle it.
dlga_merchant_quest_last_offered_job:merchant_quest_brief|Eh, you want to reconsider that. Good...
dlga_merchant_quest_what_if_fail:mayor_pretalk|I hope you don't fail. In that case, I'll have to ask for the price of the cargo you were carrying.
dlga_merchant_quest_what_if_fail:mayor_pretalk.1|Well, just do your best to finish it.
dlga_merchant_quest_taken:mayor_pretalk|Excellent. I am counting on you then. Good luck.
dlga_merchant_quest_stall:mayor_pretalk|Well, the job will be available for a few more days I guess. Tell me if you decide to take it.
dlga_mayor_economy_report_1:mayor_economy_report_2|{s32}
dlga_mayor_economy_report_2:mayor_economy_report_3|{s42}
dlga_mayor_economy_report_3:mayor_pretalk|{s47}
dlga_merchant_quest_requested:merchant_quest_brief|Well, you look able enough. I think I might have something you could do.
dlga_merchant_quest_brief:merchant_quest_looters_choice|We've had some fighting near the {s5} lately, with all the chaos that comes with it, and that's led some of our less upstanding locals to try and make their fortune out of looting the shops and farms during the confusion. A lot of valuable goods were taken. I need somebody to teach those bastards a lesson. Sound like your kind of work?
dlga_merchant_quest_looters_choice:merchant_quest_looters_brief|Aye, I'll do it.
dlga_merchant_quest_looters_choice:merchant_quest_stall|I'm afraid I can't take the job at the moment.
dlga_merchant_quest_looters_brief:close_window|Excellent! You'll find the looters roaming around the countryside, probably trying to rob more good people. Kill or capture the bastards, I don't care what you do with them. I'll pay you a bounty of 40 denars on every band of looters you destroy, until all the looters are dealt with.
dlga_merchant_quest_requested:merchant_quest_explain_2|Well, there is a very great favor which you could do us... As you may have heard, some {s10}s have come across the border to attack our people. {s5} is under great pressure from some of the more bellicose of his vassals to respond with a declaration of war. Unfortunately, while the great lords of this land grow rich from bloodshed, we of the commons will be caught in the middle, and will suffer.
dlga_merchant_quest_explain_2:merchant_quest_brief|We are not saying that {s5} should overlook this aggression -- far from it! But if he charges one of his own lords to respond, then the cycle of provocation will necessarily lead to a full-fledged confrontation. Now, if an outsider were to step in and defeat a {s10} lord in battle, then honor would be done, and it would defuse the clamor for war. If the defeated lord were a known troublemaker -- {s7} -- then the {s10}s might be able to overlook it.
dlga_merchant_quest_brief:merchant_quest_retaliate_confirm|We need you to attack and defeat {s7}. This will not be an easy task, and that outsider would damage {his/her} relationship with the {s10}s, but we would be very grateful. We could not acknowledge a connection with that outsider, but we could be sure that {he/she} would be handsomely rewarded... Could you do this?
dlga_merchant_quest_retaliate_confirm:merchant_quest_track_bandits_brief|Aye, I can do it.
dlga_merchant_quest_retaliate_confirm:merchant_pretalk|I would prefer not to get mixed up in such things
dlga_destroy_lair_quest_brief:merchant_quest_track_bandit_lair_choice|The raiders are likely to have laid up their ships in a well-concealed cove, somewhere along the coastline, preferably next to a small stream where they have some water. The best way to discover its location would be to find a group of sea raiders who appear to be heading back to their base to resupply, and follow them.
dlga_destroy_lair_quest_brief:merchant_quest_track_bandit_lair_choice.1|Bandits such as these usually establish their hideouts in the foothills on the edge of the desert, often in a canyon near a spring. This gives them both water and concealment. The best way to discover its location would be to find a group of desert bandits who appear to be heading back to their base to resupply, and follow them.
dlga_destroy_lair_quest_brief:merchant_quest_track_bandit_lair_choice.2|Bandits such as these will usually establish a around busy roads in the countryside, often on an steep ledge where they have a view of the surrounding area. This makes them difficult to surprise. The best way to discover its location would be to find a group of highway bandits who appear to be heading back to their base to resupply, and follow them.
dlga_destroy_lair_quest_brief:merchant_quest_track_bandit_lair_choice.3|Bandits such as these will usually set up their encampments deep in the woods, sometimes in the middle of a swamp. The best way to discover its location would be to find a group of forest bandits who appear to be heading back to their base to resupply, and follow them.
dlga_destroy_lair_quest_brief:merchant_quest_track_bandit_lair_choice.4|Bandits such as these will usually set up their encampments in the woodland on the steppe, where they have some concealment. The best way to discover its location would be to find a group of steppe bandits who appear to be heading back to their base to resupply, and follow them.
dlga_destroy_lair_quest_brief:merchant_quest_track_bandit_lair_choice.5|Bandits such as these will usually set up their encampments deep in the woods. The best way to discover its location would be to find a group of tundra bandits who appear to be heading back to their base to resupply, and follow them.
dlga_destroy_lair_quest_brief:merchant_quest_track_bandit_lair_choice.6|Bandits such as these will usually set up their encampments around villages and other populated areas. The best way to discover its location would be to find a group of robber knights who appear to be heading back to their base to resupply, and follow them.
dlga_merchant_quest_track_bandit_lair_choice:merchant_quest_destroy_lair_brief|Aye, I'll do it.
dlga_merchant_quest_track_bandit_lair_choice:lord_pretalk|I'm afraid I can't take the job at the moment.
dlga_merchant_quest_destroy_lair_brief:close_window|Very good. We will await word of your success.
dlga_merchant_quest_requested:merchant_quest_brief.1|We have heard that {s4}, some travellers on the road {reg4?to:from} {s5} were attacked by {s7}.
dlga_merchant_quest_brief:merchant_quest_track_bandits_choice|We would like you to track these {s4} down. The merchants of the town were able to get a description of their leader, and have put together a bounty. If you can hunt them down and destroy them, we'll make it worth your while...
dlga_merchant_quest_track_bandits_choice:merchant_quest_track_bandits_brief|Aye, I'll do it.
dlga_merchant_quest_track_bandits_brief:close_window|Very good. The band may not have lingered long in the area, but chances are that they will be spotted by other travellers on the road.
dlga_merchant_quest_track_bandits_choice:merchant_quest_stall|I'm afraid I can't take the job at the moment.
dlga_merchant_quest_requested:merchant_quest_brief.2|You're looking for a job? Actually I was looking for someone to deliver some {s4}. Perhaps you can do that...
dlga_merchant_quest_brief:merchant_quest_brief_deliver_wine|I have a cargo of {s6} that needs to be delivered to the tavern in {s4}. If you can take {reg5} units of {s6} to {s4} in 7 days, you may earn {reg8} denars. What do you say?
dlga_merchant_quest_brief_deliver_wine:merchant_quest_taken|Alright. I will make the delivery.
dlga_merchant_quest_brief_deliver_wine:merchant_quest_stall|I am afraid I can't carry all that cargo now.
dlga_merchant_quest_requested:merchant_quest_brief.3|You're looking for a job? Actually I was looking for someone to escort a caravan. Perhaps you can do that...
dlga_merchant_quest_brief:escort_merchant_caravan_quest_brief|I am going to send a caravan of goods to {s8}. However with all those bandits and deserters on the roads, I don't want to send them out without an escort. If you can lead that caravan to {s8} in 15 days, you will earn {reg8} denars. Of course your party needs to be at least {reg4} strong to offer them any protection.
dlga_escort_merchant_caravan_quest_brief:merchant_quest_taken|Alright. I will escort the caravan.
dlga_escort_merchant_caravan_quest_brief:merchant_quest_stall|I am afraid I don't have that many soldiers with me.
dlga_escort_merchant_caravan_quest_brief:merchant_quest_stall.1|Sorry. I can't do that right now
dlga_start:close_window.48|We can cover the rest of the way ourselves. Thanks.
dlga_start:close_window.49|Well, we have almost reached {s21}. We can cover the rest of the way ourselves. Here's your pay... {reg14} denars. Thanks for escorting us. Good luck.
dlga_start:merchant_caravan_intro_1|Greetings. You must be our escort, right?
dlga_merchant_caravan_intro_1:merchant_caravan_intro_2|Yes. My name is {playername}. I will lead you to {s1}.
dlga_merchant_caravan_intro_2:escort_merchant_caravan_talk|Well, It is good to know we won't travel alone. What do you want us to do now?
dlga_start:escort_merchant_caravan_talk|Eh. We've made it this far... What do you want us to do?
dlga_escort_merchant_caravan_talk:merchant_caravan_follow_lead|You follow my lead. I'll take you through a safe route.
dlga_merchant_caravan_follow_lead:close_window|Alright. We'll be right behind you.
dlga_escort_merchant_caravan_talk:merchant_caravan_stay_here|You stay here for a while. I'll go ahead and check the road.
dlga_merchant_caravan_stay_here:close_window|Alright. We'll be waiting here for you.
dlga_merchant_quest_requested:merchant_quest_brief.4|Actually, I was looking for an able adventurer like you. There's this group of particularly troublesome bandits. They have infested the vicinity of our town and are preying on my caravans. They have avoided all the soldiers and the militias up to now. If someone doesn't stop them soon, I am going to be ruined...
dlga_merchant_quest_brief:troublesome_bandits_quest_brief|I will pay you {reg8} denars if you hunt down those troublesome bandits. It's dangerous work. But I believe that you are the {man/one} for it. What do you say?
dlga_troublesome_bandits_quest_brief:merchant_quest_taken_bandits|Very well. I will hunt down those bandits.
dlga_merchant_quest_taken_bandits:close_window|You will? Splendid. Good luck to you.
dlga_troublesome_bandits_quest_brief:merchant_quest_stall|Sorry. I don't have time for this right now.
dlga_merchant_quest_requested:merchant_quest_brief.5|Actually, I was looking for a reliable {man/helper} that can undertake an important mission. A group of bandits have kidnapped the daughter of a friend of mine and are holding her for ransom. My friend is ready to pay them, but we still need someone to take the money to those rascals and bring the girl back to safety.
dlga_merchant_quest_brief:kidnapped_girl_quest_brief|The amount the bandits ask as ransom is {reg12} denars. I will give you that money once you accept to take the quest. You have 15 days to take the money to the bandits who will be waiting near the village of {s4}. Those bastards said that they are going to kill the poor girl if they don't get the money by that time. You will get your pay of {reg8} denars when you bring the girl safely back here.
dlga_kidnapped_girl_quest_brief:kidnapped_girl_quest_taken|All right. I will take the ransom money to the bandits and bring back the girl.
dlga_kidnapped_girl_quest_taken:close_window|Good. I knew we could trust you at this. Here is the ransom money, {reg12} denars. Count it before taking it. And please, don't attempt to do anything rash. Keep in mind that the girl's well being is more important than anything else...
dlga_kidnapped_girl_quest_brief:merchant_quest_stall|Sorry. I don't have time for this right now.
dlga_start:close_window.50|Thank you so much for bringing me back!  I can't wait to see my family. Good-bye.
dlga_kidnapped_girl_liberated_map:kidnapped_girl_liberated_map_2a|Yes. Come with me. We are going home.
dlga_kidnapped_girl_liberated_map_2a:close_window|Unfortunately. You do not have room in your party for me.
dlga_kidnapped_girl_liberated_map_2a:close_window.1|Oh really? Thank you so much!
dlga_kidnapped_girl_liberated_map:kidnapped_girl_liberated_map_2b|Wait here a while longer. I'll come back for you.
dlga_kidnapped_girl_liberated_map_2b:close_window|Oh, please {sir/madam}, do not leave me here all alone!
dlga_start:kidnapped_girl_liberated_map|Oh {sir/madam}. Thank you so much for rescuing me. Will you take me to my family now?
dlga_kidnapped_girl_liberated_battle:kidnapped_girl_liberated_battle_2a|Yes. Come with me. We are going home.
dlga_kidnapped_girl_liberated_battle_2a:kidnapped_girl_liberated_battle_2b|Unfortunately. You do not have room in your party for me.
dlga_kidnapped_girl_liberated_battle_2a:close_window|Oh really? Thank you so much!
dlga_kidnapped_girl_liberated_battle:kidnapped_girl_liberated_battle_2b|Wait here a while longer. I'll come back for you.
dlga_kidnapped_girl_liberated_battle_2b:close_window|Oh, please {sir/madam}, do not leave me here all alone!
dlga_start:kidnapped_girl_liberated_map.1|Can I come with you now?
dlga_start:bandits_awaiting_ransom_intro_1|Are you the one that brought the ransom? Quick, give us the money now.
dlga_start:bandits_awaiting_ransom_intro_1.1|You came back? Quick, give us the money now.
dlga_bandits_awaiting_ransom_intro_1:bandits_awaiting_ransom_pay|Here, take the money. Just set the girl free.
dlga_bandits_awaiting_ransom_pay:close_window|Heh. You've brought the money all right. You can take the girl now. It was a pleasure doing business with you...
dlga_bandits_awaiting_ransom_intro_1:bandits_awaiting_ransom_b|No way! You release the girl first.
dlga_bandits_awaiting_ransom_b:bandits_awaiting_ransom_b2|You fool! Stop playing games and give us the money! 
dlga_bandits_awaiting_ransom_b2:bandits_awaiting_ransom_pay|All right. Here's your money. Let the girl go now.
dlga_bandits_awaiting_ransom_b2:bandits_awaiting_ransom_no_money|I had left the money in a safe place. Let me go fetch it.
dlga_bandits_awaiting_ransom_no_money:close_window|Are you testing our patience or something?  Go and bring that money here quickly.
dlga_bandits_awaiting_ransom_b2:bandits_awaiting_ransom_fight|I have no intention to pay you anything. I demand that you release the girl now!
dlga_bandits_awaiting_ransom_fight:close_window|You won't be demanding anything when you're dead.
dlga_start:bandits_awaiting_remeet|What's it? You have given us the money. We have no more business.
dlga_bandits_awaiting_remeet:close_window|Sorry to bother you. I'll be on my way now.
dlga_bandits_awaiting_remeet:bandits_awaiting_remeet_2|We have one more business. You'll give the money back to me.
dlga_bandits_awaiting_remeet_2:close_window|Oh, that business! Of course. Let us get down to it.
dlga_start:kidnapped_girl_encounter_1|Oh {sir/madam}. Thank you so much for rescuing me. Will you take me to my family now?
dlga_kidnapped_girl_encounter_1:kidnapped_girl_join|Yes. Come with me. I'll take you home.
dlga_kidnapped_girl_join:close_window|Unfortunately. You do not have room in your party for me.
dlga_kidnapped_girl_join:close_window.1|Oh, thank you so much!
dlga_kidnapped_girl_encounter_1:kidnapped_girl_wait|Wait here a while longer. I'll come back for you.
dlga_kidnapped_girl_wait:close_window|Oh, please {sir/madam}, do not leave me here all alone!
dlga_merchant_quest_about_job_2:lost_kidnapped_girl|Unfortunately I lost the girl on the way here...
dlga_lost_kidnapped_girl:lost_kidnapped_girl_2|Oh no! How am I going to tell this to my friend?
dlga_lost_kidnapped_girl_2:lost_kidnapped_girl_3|I'm sorry. I could do nothing about it.
dlga_lost_kidnapped_girl_3:lost_kidnapped_girl_4|You let me down {playername}. I had trusted you. I will let people know of your incompetence at this task. Also, I want back that {reg8} denars I gave you as the ransom fee.
dlga_lost_kidnapped_girl_4:merchant_quest_about_job_5a|Of course. Here you are...
dlga_merchant_quest_about_job_5a:close_window|At least you have the decency to return the money.
dlga_lost_kidnapped_girl_4:merchant_quest_about_job_5b|Sorry. I don't have that amount with me.
dlga_merchant_quest_about_job_5b:close_window|Do you expect me to believe that? You are going to pay that ransom fee back! Go and bring the money now!
dlga_merchant_quest_requested:merchant_quest_persuade_peace_1|This war between {s15} and {s14} has brought our town to the verge of ruin. Our caravans get raided before they can reach their destination. Our merchants are afraid to leave the safety of the town walls. And as if those aren't enough, the taxes to maintain the war take away the last bits of our savings. If peace does not come soon, we can not hold on for much longer.
dlga_merchant_quest_persuade_peace_1:merchant_quest_brief|You are right. But who can stop this madness called war?
dlga_merchant_quest_persuade_peace_1:merchant_quest_persuade_peace_reject|It is your duty to help the nobles in their war effort. You shouldn't complain about it.
dlga_merchant_quest_persuade_peace_reject:close_window|Hah. The nobles fight their wars for their greed and their dreams of glory. And it is poor honest folk like us who have to bear the real burden. But you obviously don't want to hear about that.
dlga_merchant_quest_brief:merchant_quest_persuade_peace_3|There have been attempts to reconcile the two sides and reach a settlement. However, there are powerful lords on both sides whose interests lie in continuing the war. These men urge all others not to heed to the word of sensible men, but to keep fighting. While these leaders remain influential, no peace settlement can be reached.
dlga_merchant_quest_persuade_peace_3:merchant_quest_persuade_peace_4|Who are these warmongers who block the way of peace?
dlga_merchant_quest_persuade_peace_3:merchant_quest_persuade_peace_4.1|Who are these lords you speak of?
dlga_merchant_quest_persuade_peace_4:merchant_quest_persuade_peace_5|They are {s12} from {s15} and {s13} from {s14}. Until they change their mind or lose their influence, there will be no chance of having peace between the two sides.
dlga_merchant_quest_persuade_peace_5:merchant_quest_persuade_peace_6|What can be done about this?
dlga_merchant_quest_persuade_peace_5:merchant_quest_persuade_peace_6.1|Alas, it seems nothing can be done about it.
dlga_merchant_quest_persuade_peace_6:merchant_quest_persuade_peace_7|There is a way to resolve the issue. A particularly determined person can perhaps persuade one or both of these lords to accept making peace. And even if that fails, it can be possible to see that these lords are defeated by force and taken prisoner. If they are captive, they will lose their influence and they can no longer oppose a settlement... What do you think? Can you do it?
dlga_merchant_quest_persuade_peace_7:merchant_quest_persuade_peace_8|It seems difficult. But I will try.
dlga_merchant_quest_persuade_peace_7:merchant_quest_persuade_peace_8.1|If the price is right, I may.
dlga_merchant_quest_persuade_peace_7:merchant_quest_persuade_peace_8.2|Forget it. This is not my problem.
dlga_merchant_quest_persuade_peace_8:merchant_quest_persuade_peace_9|Most of the merchants in the town will gladly open up their purses to support such a plan. I think we can collect {reg12} denars between ourselves. We will be happy to reward you with that sum, if you can work this out. Convince {s12} and {s13} to accept a peace settlement, and if either of them proves too stubborn, make sure he falls captive and can not be ransomed until a peace deal is settled.
dlga_merchant_quest_persuade_peace_9:merchant_quest_persuade_peace_10|All right. I will do my best.
dlga_merchant_quest_persuade_peace_9:merchant_quest_persuade_peace_no|Sorry. I can not do this.
dlga_merchant_quest_persuade_peace_10:close_window|Excellent. You will have our blessings. I hope you can deal with those two old goats. We will be waiting and hoping for the good news.
dlga_merchant_quest_persuade_peace_no:close_window|Don't say no right away. Think about this for some time. If there is a {man/lady} who can manage to do this, it is you.
dlga_merchant_quest_requested:merchant_quest_deal_with_night_bandits|Do I indeed! There's a group of bandits infesting the town, and I'm at the end of my rope as to how to deal with them. They've been ambushing and robbing townspeople under the cover of night, and then fading away quick as lightning when the guards finally show up. We've not been able to catch a one of them. They only attack lone people, never daring to show themselves when there's a group about. I need someone who can take on these bandits alone and win. That seems to be the only way of bringing them to justice. Are you up to the task?
dlga_merchant_quest_brief:merchant_quest_deal_with_night_bandits|There's a group of bandits infesting the town, and I'm at the end of my rope as to how to deal with them. They've been ambushing and robbing townspeople under the cover of night, and then fading away quick as lightning when the guards finally show up. We've not been able to catch a one of them. They only attack lone people, never daring to show themselves when there's a group about. I need someone who can take on these bandits alone and win. That seems to be the only way of bringing them to justice. Are you up to the task?
dlga_merchant_quest_deal_with_night_bandits:deal_with_night_bandits_quest_taken|Killing bandits? Why, certainly!
dlga_merchant_quest_deal_with_night_bandits:merchant_quest_stall|My apologies, I'm not interested.
dlga_deal_with_night_bandits_quest_taken:mayor_pretalk|That takes a weight off my shoulders, {playername}. You can expect a fine reward if you come back successful. Just don't get yourself killed, eh?
dlga_merchant_quest_requested:merchant_quest_brief.6|One of the merchants here is looking for herdsmen to take his cattle to the market at {s13}.
dlga_merchant_quest_brief:move_cattle_herd_quest_brief|The cattle herd must be at {s13} within 30 days. Sooner is better, much better, but it must be absolutely no later than 30 days. If you can do that, I'd be willing to pay you {reg8} denars for your trouble. Interested?
dlga_move_cattle_herd_quest_brief:move_cattle_herd_quest_taken|Aye, I can take the herd to {s13}.
dlga_move_cattle_herd_quest_brief:merchant_quest_stall|I am sorry, but no.
dlga_move_cattle_herd_quest_taken:mayor_pretalk|Splendid. You can find the herd right outside the town. After you take the animals to {s13}, return back to me and I will give you your pay.
dlga_merchant_quest_requested:mayor_pretalk|I am afraid I can't offer you a job right now.
dlga_start:village_elder_deliver_cattle_thank|My good {sir/madam}. Our village is grateful for your help. Thanks to the {reg5} heads of cattle you have brought, we can now raise our own herd.
dlga_village_elder_deliver_cattle_thank:village_elder_talk|My good {lord/lady}, please, is there anything I can do for you?
dlga_start:village_elder_talk|Good day, {sir/madam}, and welcome to {s9}. I am the elder of this village.
dlga_start:village_elder_talk.1|Welcome to {s9}, my {lord/lady}. We were rejoiced by the news that you are the new {lord/lady} of our humble village. I am the village elder and I will be honoured to serve you in any way I can.
dlga_start:village_elder_talk.2|{My lord/My lady}, you honour our humble village with your presence.
dlga_start:village_elder_talk.3|Good day, {sir/madam}.
dlga_village_elder_pretalk:village_elder_talk|Is there anything else I can do for you?
dlga_village_elder_talk:village_elder_ask_fugitive|I am looking for a man by the name of {s4}. I was told he may be hiding here.
dlga_village_elder_ask_fugitive:village_elder_pretalk|Strangers come and go to our village, {sir/madam}. But I doubt you'll run into him at this hour of the night. You would have better luck during the day.
dlga_village_elder_ask_fugitive:close_window|Strangers come and go to our village, {sir/madam}. If he is hiding here, you will surely find him if you look around.
dlga_village_elder_talk:village_elder_active_mission_1|About the task you asked of me...
dlga_village_elder_talk:village_elder_request_mission_ask|Do you have any tasks I can help you with?
dlga_village_elder_talk:village_elder_trade_begin|I want to buy some supplies. I will pay with gold.
dlga_village_elder_trade_begin:village_elder_trade_talk|Of course, {sir/madam}. Do you want to buy goods or cattle?
dlga_village_elder_trade_talk:village_elder_trade|I want to buy food and supplies.
dlga_village_elder_trade:village_elder_pretalk|We have some food and other supplies in our storehouse. Come have a look.
dlga_village_elder_trade_talk:village_elder_buy_cattle|I want to buy some cattle.
dlga_village_elder_trade_talk:village_elder_pretalk|I changed my mind. I don't need to buy anything.
dlga_village_elder_talk:village_elder_ask_enemies|Have you seen any enemies around here recently?
dlga_village_elder_ask_enemies:village_elder_pretalk|I am sorry, {sir/madam}. We have neither seen nor heard of any war parties in this area.
dlga_village_elder_ask_enemies:village_elder_tell_enemies|Hmm. Let me think about it...
dlga_village_elder_tell_enemies:village_elder_tell_enemies|{s1} {s2}
dlga_village_elder_tell_enemies:village_elder_pretalk|No, {sir/madam}. We haven't seen any war parties in this area for some time.
dlga_village_elder_tell_enemies:village_elder_pretalk.1|Well, I guess that was all.
dlga_village_elder_talk:village_elder_ask_set_fire|I need you to set a large fire on the outskirts of this village.
dlga_village_elder_ask_set_fire:close_window|We have already agreed upon this, {sir/my lady}. I will do my best. You can trust me.
dlga_village_elder_ask_set_fire:village_elder_ask_set_fire_1|A fire, {sir/madam}! Fires are dangerous! Why would you want such a thing?
dlga_village_elder_ask_set_fire:village_elder_ask_set_fire_5|I believe that we have already discussed this issue, {sir/my lady}.
dlga_village_elder_ask_set_fire:village_elder_ask_set_fire_5.1|We talked about this {sir/madam} before and your previous offers were low compared to risk you want me to take.
dlga_village_elder_ask_set_fire_1:village_elder_ask_set_fire_2|I have my reasons, and you will have yours -- a purse of silver. Will you do it, or not?
dlga_village_elder_ask_set_fire_1:village_elder_ask_set_fire_explain_plan|Given the risk you are taking, you are entitled to know my plan.
dlga_village_elder_ask_set_fire_explain_plan:village_elder_ask_set_fire_2|I wish to rescue a prisoner from {s4}. When you light the fire, the guards in {s4} will see the smoke, and some of them will rush outside to see what is going on. 
dlga_village_elder_ask_set_fire_2:village_elder_ask_set_fire_9|As you wish, {sir/my lady}. You have been a good friend to this village, and, even though there is a risk, we should be glad to return the favor. When do you want this fire to start?
dlga_village_elder_ask_set_fire_2:close_window|I'm sorry, {sir/my lady}. You will forgive me for saying this, but we don't exactly have good reason to trust you. This is too dangerous.
dlga_village_elder_ask_set_fire_2:village_elder_ask_set_fire_3|As you say, {sir/my lady}. But in doing this, we are taking a very great risk. What's in it for us?
dlga_village_elder_ask_set_fire_3:village_elder_ask_set_fire_4|I can give you 100 denars.
dlga_village_elder_ask_set_fire_3:village_elder_ask_set_fire_6|I can give you 200 denars.
dlga_village_elder_ask_set_fire_3:village_elder_ask_set_fire_6.1|I can give you 300 denars.
dlga_village_elder_ask_set_fire_3:close_window|Never mind.
dlga_village_elder_ask_set_fire_4:village_elder_talk|This is madness. I cannot take such a risk.
dlga_village_elder_ask_set_fire_5:village_elder_ask_set_fire_7|Then let's increase your reward to 200 denars.
dlga_village_elder_ask_set_fire_5:village_elder_ask_set_fire_6|Then let's increase your reward to 300 denars.
