itm_no_item|INVALID ITEM 
itm_lit_pavise_e_2_pl|簡 易 立 陶 宛 盾 
itm_lit_pavise_f_2|簡 易 立 陶 宛 盾 
itm_lit_pavise_f_2_pl|簡 易 立 陶 宛 盾 
itm_lit_pavise_g_2|簡 易 立 陶 宛 盾 
itm_lit_pavise_g_2_pl|簡 易 立 陶 宛 盾 
itm_lit_pavise_h_2|簡 易 立 陶 宛 盾 
itm_lit_pavise_h_2_pl|簡 易 立 陶 宛 盾 
itm_lit_pavise_a_3|立 陶 宛 盾 
itm_lit_pavise_a_3_pl|立 陶 宛 盾 
itm_lit_pavise_b_3|立 陶 宛 盾 
itm_lit_pavise_b_3_pl|立 陶 宛 盾 
itm_lit_pavise_c_3|立 陶 宛 盾 
itm_lit_pavise_c_3_pl|立 陶 宛 盾 
itm_lit_pavise_d_3|立 陶 宛 盾 
itm_lit_pavise_d_3_pl|立 陶 宛 盾 
itm_lit_pavise_e_3|立 陶 宛 盾 
itm_lit_pavise_e_3_pl|立 陶 宛 盾 
itm_lit_pavise_f_3|立 陶 宛 盾 
itm_lit_pavise_f_3_pl|立 陶 宛 盾 
itm_lit_pavise_g_3|立 陶 宛 盾 
itm_lit_pavise_g_3_pl|立 陶 宛 盾 
itm_lit_pavise_h_3|立 陶 宛 盾 
itm_lit_pavise_h_3_pl|立 陶 宛 盾 
itm_lit_pavise_a_4|重 型 立 陶 宛 盾 
itm_lit_pavise_a_4_pl|重 型 立 陶 宛 盾 
itm_lit_pavise_b_4|重 型 立 陶 宛 盾 
itm_lit_pavise_b_4_pl|重 型 立 陶 宛 盾 
itm_lit_pavise_c_4|重 型 立 陶 宛 盾 
itm_lit_pavise_c_4_pl|重 型 立 陶 宛 盾 
itm_lit_pavise_d_4|重 型 立 陶 宛 盾 
itm_lit_pavise_d_4_pl|重 型 立 陶 宛 盾 
itm_lit_pavise_e_4|重 型 立 陶 宛 盾 
itm_lit_pavise_e_4_pl|重 型 立 陶 宛 盾 
itm_lit_pavise_f_4|重 型 立 陶 宛 盾 
itm_lit_pavise_f_4_pl|重 型 立 陶 宛 盾 
itm_lit_pavise_g_4|重 型 立 陶 宛 盾 
itm_lit_pavise_g_4_pl|重 型 立 陶 宛 盾 
itm_lit_pavise_h_4|重 型 立 陶 宛 盾 
itm_lit_pavise_h_4_pl|重 型 立 陶 宛 盾 
itm_byz_shield|重 型 拜 占 庭 箏 形 盾 
itm_byz_shield_pl|重 型 拜 占 庭 箏 形 盾 
itm_byz_shield_kite|箏 形 盾 
itm_byz_shield_kite_pl|箏 形 盾 
itm_byz_shield_round|圓 盾 
itm_byz_shield_round_pl|圓 盾 
itm_arab_shield_a_1|舊 薩 拉 遜 圓 盾 
itm_arab_shield_a_1_pl|舊 薩 拉 遜 圓 盾 
itm_arab_shield_a_2|簡 易 薩 拉 遜 圓 盾 
itm_arab_shield_a_2_pl|簡 易 薩 拉 遜 圓 盾 
itm_arab_shield_a_3|薩 拉 遜 圓 盾 
itm_arab_shield_a_3_pl|薩 拉 遜 圓 盾 
itm_arab_shield_a_4|薩 拉 遜 重 圓 盾 
itm_arab_shield_a_4_pl|薩 拉 遜 重 圓 盾 
itm_arab_shield_b_1|舊 薩 拉 遜 圓 盾 
itm_arab_shield_b_1_pl|舊 薩 拉 遜 圓 盾 
itm_arab_shield_b_2|簡 易 薩 拉 遜 圓 盾 
itm_arab_shield_b_2_pl|簡 易 薩 拉 遜 圓 盾 
itm_arab_shield_b_3|薩 拉 遜 圓 盾 
itm_arab_shield_b_3_pl|薩 拉 遜 圓 盾 
itm_arab_shield_b_4|薩 拉 遜 重 圓 盾 
itm_arab_shield_b_4_pl|薩 拉 遜 重 圓 盾 
itm_arab_shield_c_1|舊 薩 拉 遜 圓 盾 
itm_arab_shield_c_1_pl|舊 薩 拉 遜 圓 盾 
itm_arab_shield_c_2|簡 易 薩 拉 遜 圓 盾 
itm_arab_shield_c_2_pl|簡 易 薩 拉 遜 圓 盾 
itm_arab_shield_c_3|薩 拉 遜 圓 盾 
itm_arab_shield_c_3_pl|薩 拉 遜 圓 盾 
itm_arab_shield_c_4|薩 拉 遜 重 圓 盾 
itm_arab_shield_c_4_pl|薩 拉 遜 重 圓 盾 
itm_arab_shield_d_1|舊 薩 拉 遜 圓 盾 
itm_arab_shield_d_1_pl|舊 薩 拉 遜 圓 盾 
itm_arab_shield_d_2|簡 易 薩 拉 遜 圓 盾 
itm_arab_shield_d_2_pl|簡 易 薩 拉 遜 圓 盾 
itm_arab_shield_d_3|薩 拉 遜 圓 盾 
itm_arab_shield_d_3_pl|薩 拉 遜 圓 盾 
itm_arab_shield_d_4|薩 拉 遜 重 圓 盾 
itm_arab_shield_d_4_pl|薩 拉 遜 重 圓 盾 
itm_arab_shield_e_1|舊 薩 拉 遜 圓 盾 
itm_arab_shield_e_1_pl|舊 薩 拉 遜 圓 盾 
itm_arab_shield_e_2|簡 易 薩 拉 遜 圓 盾 
itm_arab_shield_e_2_pl|簡 易 薩 拉 遜 圓 盾 
itm_arab_shield_e_3|薩 拉 遜 圓 盾 
itm_arab_shield_e_3_pl|薩 拉 遜 圓 盾 
itm_arab_shield_e_4|薩 拉 遜 重 圓 盾 
itm_arab_shield_e_4_pl|薩 拉 遜 重 圓 盾 
itm_arab_shield_f_1|舊 薩 拉 遜 圓 盾 
itm_arab_shield_f_1_pl|舊 薩 拉 遜 圓 盾 
itm_arab_shield_f_2|簡 易 薩 拉 遜 圓 盾 
itm_arab_shield_f_2_pl|簡 易 薩 拉 遜 圓 盾 
itm_arab_shield_f_3|薩 拉 遜 圓 盾 
itm_arab_shield_f_3_pl|薩 拉 遜 圓 盾 
itm_arab_shield_f_4|薩 拉 遜 重 圓 盾 
itm_arab_shield_f_4_pl|薩 拉 遜 重 圓 盾 
itm_arab_shield_g_1|舊 薩 拉 遜 圓 盾 
itm_arab_shield_g_1_pl|舊 薩 拉 遜 圓 盾 
itm_arab_shield_g_2|簡 易 薩 拉 遜 圓 盾 
itm_arab_shield_g_2_pl|簡 易 薩 拉 遜 圓 盾 
itm_arab_shield_g_3|薩 拉 遜 圓 盾 
itm_arab_shield_g_3_pl|薩 拉 遜 圓 盾 
itm_arab_shield_g_4|薩 拉 遜 重 圓 盾 
itm_arab_shield_g_4_pl|薩 拉 遜 重 圓 盾 
itm_arab_shield_h_1|舊 薩 拉 遜 圓 盾 
itm_arab_shield_h_1_pl|舊 薩 拉 遜 圓 盾 
itm_arab_shield_h_2|簡 易 薩 拉 遜 圓 盾 
itm_arab_shield_h_2_pl|簡 易 薩 拉 遜 圓 盾 
itm_arab_shield_h_3|薩 拉 遜 圓 盾 
itm_arab_shield_h_3_pl|薩 拉 遜 圓 盾 
itm_arab_shield_h_4|薩 拉 遜 重 圓 盾 
itm_arab_shield_h_4_pl|薩 拉 遜 重 圓 盾 
itm_arab_shield_i_1|舊 薩 拉 遜 圓 盾 
itm_arab_shield_i_1_pl|舊 薩 拉 遜 圓 盾 
itm_arab_shield_i_2|簡 易 薩 拉 遜 圓 盾 
itm_arab_shield_i_2_pl|簡 易 薩 拉 遜 圓 盾 
itm_arab_shield_i_3|薩 拉 遜 圓 盾 
itm_arab_shield_i_3_pl|薩 拉 遜 圓 盾 
itm_arab_shield_i_4|薩 拉 遜 重 圓 盾 
itm_arab_shield_i_4_pl|薩 拉 遜 重 圓 盾 
itm_cuman_shield_a_1|舊 庫 曼 圓 盾 
itm_cuman_shield_a_1_pl|舊 庫 曼 圓 盾 
itm_cuman_shield_a_2|簡 易 庫 曼 圓 盾 
itm_cuman_shield_a_2_pl|簡 易 庫 曼 圓 盾 
itm_cuman_shield_a_3|庫 曼 圓 盾 
itm_cuman_shield_a_3_pl|庫 曼 圓 盾 
itm_cuman_shield_a_4|庫 曼 重 圓 盾 
itm_cuman_shield_a_4_pl|庫 曼 重 圓 盾 
itm_cuman_shield_b_1|舊 庫 曼 圓 盾 
itm_cuman_shield_b_1_pl|舊 庫 曼 圓 盾 
itm_cuman_shield_b_2|簡 易 庫 曼 圓 盾 
itm_cuman_shield_b_2_pl|簡 易 庫 曼 圓 盾 
itm_cuman_shield_b_3|庫 曼 圓 盾 
itm_cuman_shield_b_3_pl|庫 曼 圓 盾 
itm_cuman_shield_b_4|庫 曼 重 圓 盾 
itm_cuman_shield_b_4_pl|庫 曼 重 圓 盾 
itm_cuman_shield_c_1|舊 庫 曼 圓 盾 
itm_cuman_shield_c_1_pl|舊 庫 曼 圓 盾 
itm_cuman_shield_c_2|簡 易 庫 曼 圓 盾 
itm_cuman_shield_c_2_pl|簡 易 庫 曼 圓 盾 
itm_cuman_shield_c_3|庫 曼 圓 盾 
itm_cuman_shield_c_3_pl|庫 曼 圓 盾 
itm_cuman_shield_c_4|庫 曼 重 圓 盾 
itm_cuman_shield_c_4_pl|庫 曼 重 圓 盾 
itm_talak_buckler|小 圓 盾 
itm_talak_buckler_pl|小 圓 盾 
itm_jarid|短 標 槍 
itm_jarid_pl|短 標 槍 
itm_darts|梭 鏢 
itm_darts_pl|梭 鏢 
itm_war_darts|戰 鏢 
itm_war_darts_pl|戰 鏢 
itm_javelin|標 槍 
itm_javelin_pl|標 槍 
itm_balt_javelin|波 羅 的 海 標 槍 
itm_balt_javelin_pl|波 羅 的 海 標 槍 
itm_throwing_spears|投 矛 
itm_throwing_spears_pl|投 矛 
itm_stones|石 子 
itm_stones_pl|石 子 
itm_throwing_knives|飛 刀 
itm_throwing_knives_pl|飛 刀 
itm_throwing_daggers|飛 刀 
itm_throwing_daggers_pl|飛 刀 
itm_hunting_bow|獵 弓 
itm_hunting_bow_pl|獵 弓 
itm_short_bow|單 體 弓 
itm_short_bow_pl|單 體 弓 
itm_nomad_bow|匈 弓 
itm_nomad_bow_pl|匈 弓 
itm_long_bow|長 弓 
itm_long_bow_pl|長 弓 
itm_khergit_bow|蒙 古 弓 
itm_khergit_bow_pl|蒙 古 弓 
itm_strong_bow|復 合 弓 
itm_strong_bow_pl|復 合 弓 
itm_hunting_crossbow|獵 弩 
itm_hunting_crossbow_pl|獵 弩 
itm_light_crossbow|輕 弩 
itm_light_crossbow_pl|輕 弩 
itm_crossbow|弩 
itm_crossbow_pl|弩 
itm_heavy_crossbow|重 弩 
itm_heavy_crossbow_pl|重 弩 
itm_sniper_crossbow|攻 城 弩 
itm_sniper_crossbow_pl|攻 城 弩 
itm_torch|火 把 
itm_torch_pl|火 把 
itm_lyre|裡 拉 琴 
itm_lyre_pl|裡 拉 琴 
itm_lute|魯 特 琴 
itm_lute_pl|魯 特 琴 
itm_khergit_war_helmet|蒙 古 戰 盔 
itm_khergit_war_helmet_pl|蒙 古 戰 盔 
itm_khergit_guard_boots|蒙 古 護 靴 
itm_khergit_guard_boots_pl|蒙 古 護 靴 
itm_khergit_guard_helmet|蒙 古 護 盔 
itm_khergit_guard_helmet_pl|蒙 古 護 盔 
itm_khergit_cavalry_helmet|蒙 古 騎 盔 
itm_khergit_cavalry_helmet_pl|蒙 古 騎 盔 
itm_tunic_with_green_cape|綠 色 帶 披 風 短 袍 
itm_tunic_with_green_cape_pl|綠 色 帶 披 風 短 袍 
itm_keys|鑰 匙 串 
itm_keys_pl|鑰 匙 串 
itm_bride_dress|新 娘 裝 
itm_bride_dress_pl|新 娘 裝 
itm_bride_crown|花 冠 
itm_bride_crown_pl|花 冠 
itm_bride_shoes|新 娘 鞋 
itm_bride_shoes_pl|新 娘 鞋 
itm_practice_bow_2|練 習 弓 
itm_practice_bow_2_pl|練 習 弓 
itm_practice_arrows_2|練 習 箭 
itm_practice_arrows_2_pl|練 習 箭 
itm_mail_boots_for_tableau|鏈 甲 靴 
itm_mail_boots_for_tableau_pl|鏈 甲 靴 
itm_almogavar_sword|阿 爾 莫 伽 瓦 直 刃 刀 
itm_almogavar_sword_pl|阿 爾 莫 伽 瓦 直 刃 刀 
itm_welsh_archer|威 爾 士 弓 兵 短 袍 
itm_welsh_archer_pl|威 爾 士 弓 兵 短 袍 
itm_armenian_knight_a|亞 美 尼 亞 騎 士 鏈 甲 
itm_armenian_knight_a_pl|亞 美 尼 亞 騎 士 鏈 甲 
itm_armenian_knight_b|亞 美 尼 亞 騎 士 鏈 甲 
itm_armenian_knight_b_pl|亞 美 尼 亞 騎 士 鏈 甲 
itm_armenian_knight_c|亞 美 尼 亞 騎 士 鏈 甲 
itm_armenian_knight_c_pl|亞 美 尼 亞 騎 士 鏈 甲 
itm_archer_a|帶 頭 罩 短 袍 
itm_archer_a_pl|帶 頭 罩 短 袍 
itm_archer_b|帶 頭 罩 短 袍 
itm_archer_b_pl|帶 頭 罩 短 袍 
itm_archer_c|帶 頭 罩 短 袍 
itm_archer_c_pl|帶 頭 罩 短 袍 
itm_surcoat_a|軟 鎧 甲 
itm_surcoat_a_pl|軟 鎧 甲 
itm_surcoat_b|軟 鎧 甲 
itm_surcoat_b_pl|軟 鎧 甲 
itm_surcoat_c|軟 鎧 甲 
itm_surcoat_c_pl|軟 鎧 甲 
itm_surcoat_d|軟 鎧 甲 
itm_surcoat_d_pl|軟 鎧 甲 
itm_surcoat_e|軟 鎧 甲 
itm_surcoat_e_pl|軟 鎧 甲 
itm_surcoat_f|鏈 甲 
itm_surcoat_f_pl|鏈 甲 
itm_surcoat_g|鏈 甲 
itm_surcoat_g_pl|鏈 甲 
itm_teu_hbrother_a|條 頓 世 俗 騎 士 罩 袍 鏈 甲 
itm_teu_hbrother_a_pl|條 頓 世 俗 騎 士 罩 袍 鏈 甲 
itm_teu_hbrother_b|條 頓 世 俗 騎 士 罩 袍 鏈 甲 
itm_teu_hbrother_b_pl|條 頓 世 俗 騎 士 罩 袍 鏈 甲 
itm_flat_kettle_hat|平 頂 鍋 盔 
itm_flat_kettle_hat_pl|平 頂 鍋 盔 
itm_seljuk_horse|塞 爾 柱 馬 
itm_seljuk_horse_pl|塞 爾 柱 馬 
itm_seljuk_armour|塞 爾 柱 甲 
itm_seljuk_armour_pl|塞 爾 柱 甲 
itm_seljuk_lamellar_a|塞 爾 柱 片 甲 背 心 
itm_seljuk_lamellar_a_pl|塞 爾 柱 片 甲 背 心 
itm_seljuk_lamellar_b|塞 爾 柱 片 甲 背 心 
itm_seljuk_lamellar_b_pl|塞 爾 柱 片 甲 背 心 
itm_andalus_helmet_a|安 達 盧 西 亞 盔 
itm_andalus_helmet_a_pl|安 達 盧 西 亞 盔 
itm_andalus_infantry_helmet|安 達 盧 西 亞 盔 
itm_andalus_infantry_helmet_pl|安 達 盧 西 亞 盔 
itm_andalusian_knight|安 達 盧 西 亞 罩 袍 鏈 甲 
itm_andalusian_knight_pl|安 達 盧 西 亞 罩 袍 鏈 甲 
itm_gaelic_mail_shirt_a|蓋 爾 鏈 甲 衫 
itm_gaelic_mail_shirt_a_pl|蓋 爾 鏈 甲 衫 
itm_targe_1|輕 型 圓 盾 
itm_targe_1_pl|輕 型 圓 盾 
itm_highlander_boots_1|高 地 靴 
itm_highlander_boots_1_pl|高 地 靴 
itm_gaelic_byrnie_a|蓋 爾 鎖 子 甲 
itm_gaelic_byrnie_a_pl|蓋 爾 鎖 子 甲 
itm_gaelic_byrnie_b|蓋 爾 鎖 子 甲 
itm_gaelic_byrnie_b_pl|蓋 爾 鎖 子 甲 
itm_genoa_padded_a|加 襯 布 甲 
itm_genoa_padded_a_pl|加 襯 布 甲 
itm_genoa_padded_b|加 襯 布 甲 
itm_genoa_padded_b_pl|加 襯 布 甲 
itm_genoa_padded_c|加 襯 布 甲 
itm_genoa_padded_c_pl|加 襯 布 甲 
itm_genoa_mail_b|熱 那 亞 鏈 甲 
itm_genoa_mail_b_pl|熱 那 亞 鏈 甲 
itm_genoa_mail_c|熱 那 亞 鏈 甲 
itm_genoa_mail_c_pl|熱 那 亞 鏈 甲 
itm_andalusian_shield_1|舊 摩 爾 盾 
itm_andalusian_shield_1_pl|舊 摩 爾 盾 
itm_andalusian_shield_2|簡 易 摩 爾 盾 
itm_andalusian_shield_2_pl|簡 易 摩 爾 盾 
itm_andalusian_shield_3|摩 爾 盾 
itm_andalusian_shield_3_pl|摩 爾 盾 
itm_andalusian_shield_4|重 型 摩 爾 盾 
itm_andalusian_shield_4_pl|重 型 摩 爾 盾 
itm_andalusian_helmet_a|安 達 盧 西 亞 盔 
itm_andalusian_helmet_a_pl|安 達 盧 西 亞 盔 
itm_andalusian_helmet_b|伊 比 利 亞 盔 
itm_andalusian_helmet_b_pl|伊 比 利 亞 盔 
itm_muslim_lance|重 型 騎 槍 
itm_muslim_lance_pl|重 型 騎 槍 
itm_noble_cloak|貴 族 裝 
itm_noble_cloak_pl|貴 族 裝 
itm_meghrebi_leather_a|馬 格 裡 布 皮 甲 
itm_meghrebi_leather_a_pl|馬 格 裡 布 皮 甲 
itm_meghrebi_leather_b|馬 格 裡 布 皮 甲 
itm_meghrebi_leather_b_pl|馬 格 裡 布 皮 甲 
itm_meghrebi_leather_c|馬 格 裡 布 皮 甲 
itm_meghrebi_leather_c_pl|馬 格 裡 布 皮 甲 
itm_meghrebi_vest|馬 格 裡 布 長 衫 
itm_meghrebi_vest_pl|馬 格 裡 布 長 衫 
itm_buff_leather|水 牛 皮 皮 甲 
itm_buff_leather_pl|水 牛 皮 皮 甲 
itm_black_guard|黑 衛 士 長 袍 
itm_black_guard_pl|黑 衛 士 長 袍 
itm_black_guard_helmet|黑 衛 士 盔 
itm_black_guard_helmet_pl|黑 衛 士 盔 
itm_gaelic_mail_shirt_b|蓋 爾 鏈 甲 
itm_gaelic_mail_shirt_b_pl|蓋 爾 鏈 甲 
itm_surcoat_gaelic|蓋 爾 罩 袍 板 甲 
itm_surcoat_gaelic_pl|蓋 爾 罩 袍 板 甲 
itm_almohad_robe_a|阿 爾 摩 哈 德 長 袍 
itm_almohad_robe_a_pl|阿 爾 摩 哈 德 長 袍 
itm_almohad_robe_b|阿 爾 摩 哈 德 長 袍 
itm_almohad_robe_b_pl|阿 爾 摩 哈 德 長 袍 
itm_almohad_robe_c|阿 爾 摩 哈 德 長 袍 
itm_almohad_robe_c_pl|阿 爾 摩 哈 德 長 袍 
itm_almohad_robe_d|阿 爾 摩 哈 德 長 袍 
itm_almohad_robe_d_pl|阿 爾 摩 哈 德 長 袍 
itm_almohad_padded_a|阿 爾 摩 哈 德 加 襯 布 甲 
itm_almohad_padded_a_pl|阿 爾 摩 哈 德 加 襯 布 甲 
itm_almohad_padded_b|阿 爾 摩 哈 德 加 襯 布 甲 
itm_almohad_padded_b_pl|阿 爾 摩 哈 德 加 襯 布 甲 
itm_almohad_padded_c|阿 爾 摩 哈 德 加 襯 布 甲 
itm_almohad_padded_c_pl|阿 爾 摩 哈 德 加 襯 布 甲 
itm_almohad_cavalry_a|阿 爾 摩 哈 德 騎 兵 長 袍 
itm_almohad_cavalry_a_pl|阿 爾 摩 哈 德 騎 兵 長 袍 
itm_almohad_cavalry_b|阿 爾 摩 哈 德 騎 兵 長 袍 
itm_almohad_cavalry_b_pl|阿 爾 摩 哈 德 騎 兵 長 袍 
itm_andalusian_archers_vest|安 達 盧 西 亞 長 袍 
itm_andalusian_archers_vest_pl|安 達 盧 西 亞 長 袍 
itm_andalusian_skirmisher_armor|安 達 盧 西 亞 皮 甲 
itm_andalusian_skirmisher_armor_pl|安 達 盧 西 亞 皮 甲 
itm_arabian_lamellar|片 甲 背 心 
itm_arabian_lamellar_pl|片 甲 背 心 
itm_horse_d|駿 馬 
itm_horse_d_pl|駿 馬 
itm_arab_nobleman_a|阿 拉 伯 貴 族 長 袍 
itm_arab_nobleman_a_pl|阿 拉 伯 貴 族 長 袍 
itm_arab_nobleman_b|阿 拉 伯 貴 族 長 袍 
itm_arab_nobleman_b_pl|阿 拉 伯 貴 族 長 袍 
itm_arab_nobleman_c|阿 拉 伯 貴 族 長 袍 
itm_arab_nobleman_c_pl|阿 拉 伯 貴 族 長 袍 
itm_andalusian_heavy_a|安 達 盧 西 亞 鱗 甲 
itm_andalusian_heavy_a_pl|安 達 盧 西 亞 鱗 甲 
itm_andalusian_heavy_b|安 達 盧 西 亞 鱗 甲 
itm_andalusian_heavy_b_pl|安 達 盧 西 亞 鱗 甲 
itm_berber_tunic_a|柏 柏 爾 長 袍 
itm_berber_tunic_a_pl|柏 柏 爾 長 袍 
itm_berber_tunic_b|柏 柏 爾 長 袍 
itm_berber_tunic_b_pl|柏 柏 爾 長 袍 
itm_berber_tunic_c|柏 柏 爾 長 袍 
itm_berber_tunic_c_pl|柏 柏 爾 長 袍 
itm_berber_turban|摩 爾 包 頭 巾 
itm_berber_turban_pl|摩 爾 包 頭 巾 
itm_berber_shoes|柏 柏 爾 鞋 
itm_berber_shoes_pl|柏 柏 爾 鞋 
itm_iberian_leather_armour_a|伊 比 利 亞 皮 甲 
itm_iberian_leather_armour_a_pl|伊 比 利 亞 皮 甲 
itm_iberian_leather_armour_b|伊 比 利 亞 皮 甲 
itm_iberian_leather_armour_b_pl|伊 比 利 亞 皮 甲 
itm_iberian_leather_armour_c|伊 比 利 亞 皮 甲 
itm_iberian_leather_armour_c_pl|伊 比 利 亞 皮 甲 
itm_andalusi_horseman_robe|摩 爾 騎 手 鏈 甲 
itm_andalusi_horseman_robe_pl|摩 爾 騎 手 鏈 甲 
itm_galloglass_mail|武 裝 隨 員 鏈 甲 
itm_galloglass_mail_pl|武 裝 隨 員 鏈 甲 
itm_galloglass_padded|武 裝 隨 員 加 襯 布 甲 
itm_galloglass_padded_pl|武 裝 隨 員 加 襯 布 甲 
itm_baltic_sword|波 羅 的 海 劍 
itm_baltic_sword_pl|波 羅 的 海 劍 
itm_man_at_arms_a|鏈 甲 外 套 
itm_man_at_arms_a_pl|鏈 甲 外 套 
itm_man_at_arms_b|鏈 甲 外 套 
itm_man_at_arms_b_pl|鏈 甲 外 套 
itm_man_at_arms_c|鏈 甲 外 套 
itm_man_at_arms_c_pl|鏈 甲 外 套 
itm_arab_padded_vest|薩 拉 遜 加 襯 布 衣 背 心 
itm_arab_padded_vest_pl|薩 拉 遜 加 襯 布 衣 背 心 
itm_arab_archer|薩 拉 遜 射 手 背 心 
itm_arab_archer_pl|薩 拉 遜 射 手 背 心 
itm_mamluk_infantry_lamellar_a|帶 片 甲 的 鏈 甲 背 心 
itm_mamluk_infantry_lamellar_a_pl|帶 片 甲 的 鏈 甲 背 心 
itm_mamluk_infantry_lamellar_b|帶 片 甲 的 鏈 甲 背 心 
itm_mamluk_infantry_lamellar_b_pl|帶 片 甲 的 鏈 甲 背 心 
itm_targe_2|輕 型 圓 盾 
itm_targe_2_pl|輕 型 圓 盾 
itm_targe_3|輕 型 圓 盾 
itm_targe_3_pl|輕 型 圓 盾 
itm_targe_4|輕 型 圓 盾 
itm_targe_4_pl|輕 型 圓 盾 
itm_targe_5|輕 型 圓 盾 
itm_targe_5_pl|輕 型 圓 盾 
itm_targe_6|輕 型 圓 盾 
itm_targe_6_pl|輕 型 圓 盾 
itm_balt_lamellar_coat_a|鱗 甲 背 心 
itm_balt_lamellar_coat_a_pl|鱗 甲 背 心 
itm_balt_lamellar_coat_b|鱗 甲 背 心 
itm_balt_lamellar_coat_b_pl|鱗 甲 背 心 
itm_rus_padded|東 歐 布 鏈 甲 
itm_rus_padded_pl|東 歐 布 鏈 甲 
itm_baltic_sword_b|波 羅 的 海 劍 
itm_baltic_sword_b_pl|波 羅 的 海 劍 
itm_mongol_helmet_a|蒙 古 盔 
itm_mongol_helmet_a_pl|蒙 古 盔 
itm_mongol_helmet_b|蒙 古 盔 
itm_mongol_helmet_b_pl|蒙 古 盔 
itm_mongol_helmet_c|蒙 古 盔 
itm_mongol_helmet_c_pl|蒙 古 盔 
itm_steppe_helmet|草 原 盔 
itm_steppe_helmet_pl|草 原 盔 
itm_priest_cap_1|帽 
itm_priest_cap_1_pl|帽 
itm_priest_cap_2|帽 
itm_priest_cap_2_pl|帽 
itm_priest_robe_1|神 父 袍 
itm_priest_robe_1_pl|神 父 袍 
itm_priest_robe_2|神 父 袍 
itm_priest_robe_2_pl|神 父 袍 
itm_priest_robe_3|神 父 袍 
itm_priest_robe_3_pl|神 父 袍 
itm_surgeon|外 科 醫 生 裝 
itm_surgeon_pl|外 科 醫 生 裝 
itm_priest_1_boots|拖 鞋 
itm_priest_1_boots_pl|拖 鞋 
itm_priest_2_boots|裹 腿
itm_priest_2_boots_pl|裹 腿
itm_bishop_great_helm|主 教 巨 盔 
itm_bishop_great_helm_pl|主 教 巨 盔 
itm_bishop_armour|主 教 鎧 甲 
itm_bishop_armour_pl|主 教 鎧 甲 
itm_bishop_mitre|帽 
itm_bishop_mitre_pl|帽 
itm_bishop_staff|主 教 權 杖 
itm_bishop_staff_pl|主 教 權 杖 
itm_varangian_shield_a|瓦 蘭 吉 盾 
itm_varangian_shield_a_pl|瓦 蘭 吉 盾 
itm_varangian_shield_b|瓦 蘭 吉 盾 
itm_varangian_shield_b_pl|瓦 蘭 吉 盾 
itm_varangian_shield_c|瓦 蘭 吉 盾 
itm_varangian_shield_c_pl|瓦 蘭 吉 盾 
itm_byzantine_sabre|拜 占 庭 軍 刀 
itm_byzantine_sabre_pl|拜 占 庭 軍 刀 
itm_byzantine_sword|拜 占 庭 劍 
itm_byzantine_sword_pl|拜 占 庭 劍 
itm_byzantine_sword_1|拜 占 庭 劍 
itm_byzantine_sword_1_pl|拜 占 庭 劍 
itm_byzantine_sword_3|拜 占 庭 劍 
itm_byzantine_sword_3_pl|拜 占 庭 劍 
itm_byzantine_sword_4|拜 占 庭 劍 
itm_byzantine_sword_4_pl|拜 占 庭 劍 
itm_byzantine_sword_5|拜 占 庭 劍 
itm_byzantine_sword_5_pl|拜 占 庭 劍 
itm_byzantine_sword_7|拜 占 庭 劍 
itm_byzantine_sword_7_pl|拜 占 庭 劍 
itm_byzantine_sword_extra|拜 占 庭 劍 
itm_byzantine_sword_extra_pl|拜 占 庭 劍 
itm_rus_shield_a_4|杏 形 盾 
itm_rus_shield_a_4_pl|杏 形 盾 
itm_rus_shield_b_4|杏 形 盾 
itm_rus_shield_b_4_pl|杏 形 盾 
itm_rus_shield_c_4|杏 形 盾 
itm_rus_shield_c_4_pl|杏 形 盾 
itm_rus_shield_d_4|杏 形 盾 
itm_rus_shield_d_4_pl|杏 形 盾 
itm_rus_shield_a_3|杏 形 盾 
itm_rus_shield_a_3_pl|杏 形 盾 
itm_rus_shield_b_3|杏 形 盾 
itm_rus_shield_b_3_pl|杏 形 盾 
itm_rus_shield_c_3|杏 形 盾 
itm_rus_shield_c_3_pl|杏 形 盾 
itm_rus_shield_d_3|杏 形 盾 
itm_rus_shield_d_3_pl|杏 形 盾 
itm_rus_shield_a_2|杏 形 盾 
itm_rus_shield_a_2_pl|杏 形 盾 
itm_rus_shield_b_2|杏 形 盾 
itm_rus_shield_b_2_pl|杏 形 盾 
itm_rus_shield_c_2|杏 形 盾 
itm_rus_shield_c_2_pl|杏 形 盾 
itm_rus_shield_d_2|杏 形 盾 
itm_rus_shield_d_2_pl|杏 形 盾 
itm_rus_shield_a_1|杏 形 盾 
itm_rus_shield_a_1_pl|杏 形 盾 
itm_rus_shield_b_1|杏 形 盾 
itm_rus_shield_b_1_pl|杏 形 盾 
itm_rus_shield_c_1|杏 形 盾 
itm_rus_shield_c_1_pl|杏 形 盾 
itm_rus_shield_d_1|杏 形 盾 
itm_rus_shield_d_1_pl|杏 形 盾 
itm_cuman_noble_helmet|庫 曼 貴 族 盔 
itm_cuman_noble_helmet_pl|庫 曼 貴 族 盔 
itm_ghulam_helmet|奴 隸 騎 兵 盔 
itm_ghulam_helmet_pl|奴 隸 騎 兵 盔 
itm_ilkhanate_mongol_helmet|蒙 古 盔 
itm_ilkhanate_mongol_helmet_pl|蒙 古 盔 
itm_polski_helm|波 蘭 盔 
itm_polski_helm_pl|波 蘭 盔 
