str_no_string|NO STRING! 
str_s1extra_morale_for_s9_troops__reg6_|{s1}{s9}的 士 兵 獲 得 的 額 外 士 氣： {reg6}^
str_courtships_in_progress_|求 愛 進 程： ^ 
str_s1_s2_relation_reg3_last_visit_reg4_days_ago|{s1}^{s2}， 關 系 {reg3}， 上 一 次 見 面 是 在 {reg4}天 前 
str_s1__poems_known|{s1}^^ 學 得 的 詩 歌 ： 
str_s1_storming_the_castle_of_love_allegoric|{s1}^ 愛 情 城 堡 之 風 暴 （寓 言 類） 
str_s1_kais_and_layali_tragic|{s1}^凱 斯 和 萊 亞 拉 （悲 劇 類） 
str_s1_a_conversation_in_the_garden_comic|{s1}^ 花 園 中 的 談 話 （喜 劇 類） 
str_s1_helgered_and_kara_epic|{s1}^海 格 雷 德 和 凱 拉 （傳 奇 類） 
str_s1_a_hearts_desire_mystic|{s1}^ 心 中 的 渴 望 （神 秘 類） 
str_no_companions_in_service|沒 有 服 役 中 的 同 伴 
str_gathering_support|募 集 支 持 
str_expected_back_imminently|預 計 很 快 返 回 
str_expected_back_in_approximately_reg3_days|預 計 在 大 約 {reg3}日 後 回 來 
str_gathering_intelligence|收 集 情 報 
str_diplomatic_embassy_to_s9|去 {s9}的 外 交 大 使 
str_serving_as_minister|當 首 席 大 臣 
str_in_your_court_at_s9|在 你 {s9}的 大 廳 
str_under_arms|在 役 
str_in_your_party|在 你 的 隊 伍 裡 
str_attacking_enemy_army_near_s11|在 {s11}附 近 發 現 敵 情 
str_holding_feast_at_s11|在 {s11}舉 行 宴 會 
str_s9s10_current_state_s11_hours_at_current_state_reg3_current_strategic_thinking_s14_marshall_s12_since_the_last_offensive_ended_reg4_hours_since_the_decisive_event_reg10_hours_since_the_last_rest_reg9_hours_since_the_last_feast_ended_reg5_hours_percent_disgruntled_lords_reg7_percent_restless_lords_reg8__|{s9}{s10}^ 當 前 狀 況： {s11}^ 當 前 狀 態 延 續 小 時： {reg3}^ 當 前 戰 略 考 慮： {s14}^ 元 帥： {s12}^ 自 上 次 進 攻 結 束 至 今： {reg4}小 時 ^ 自 決 定 性 事 件 至 今： {reg10}小 時 ^ 自 上 次 超 過 十 八 小 時 的 休 息 至 今： {reg9}小 時 ^ 自 上 次 宴 會 結 束 至 今： {reg5}小 時 ^ 不 滿 的 領 主 比 例： {reg7}%^ 不 安 分 的 領 主 比 例： {reg8}%^^ 
str__right_to_rule_reg12|^ 擁 有 統 治 權： {reg12}。 
str_political_arguments_made_legality_reg3_rights_of_lords_reg4_unificationpeace_reg5_rights_of_commons_reg6_fief_pledges_reg7|政 治 爭 議 構 成： ^ 合 法 性： {reg3}^ 領 主 權 利： {reg4}^ 統 一/和 平： {reg5}^ 平 民 權 利： {reg6}^ 領 地 歸 屬： {reg7}
str_renown_reg2_honour_rating_reg3s12_friends_s8_enemies_s6_s9|聲 望： {reg2}^ 榮 譽 等 級： {reg3}。 {s12}^ 朋 友： {s8}。 ^ 敵 人： {s6}。 ^{s9}
str_you_lie_stunned_for_several_minutes_then_stagger_to_your_feet_to_find_your_s10_standing_over_you_you_have_lost_the_duel|你 暈 倒 了 好 一 陣 子， 隨 後 掙 扎 著 爬 起 來， {s10}在 一 旁 俯 視 著 你。 你 輸 掉 了 這 場 決 鬥。 
str_s10_lies_in_the_arenas_dust_for_several_minutes_then_staggers_to_his_feet_you_have_won_the_duel|{s10}在 競 技 場 的 塵 土 裡 躺 了 一 陣 子， 隨 後 掙 扎 著 爬 起 來。 你 贏 得 了 決 鬥。 
str__this_castle_is_temporarily_under_royal_control|這 座 城 堡 暫 時 由 王 室 直 轄。 
str__this_castle_does_not_seem_to_be_under_anyones_control|這 座 城 堡 看 上 去 不 屬 於 任 何 人。 
str__this_town_is_temporarily_under_royal_control|這 座 城 鎮 暫 時 由 王 室 直 轄。 
str__the_townspeople_seem_to_have_declared_their_independence|這 座 城 鎮 的 市 民 似 乎 宣 布 了 獨 立 自 治。 
str_to_your_husband_s11|到 你 丈 夫， {s11}。 
str__you_see_the_banner_of_your_wifehusband_s7_over_the_castle_gate|你 看 見 城 堡 的 大 門 上 懸 掛 著 你 {妻 子/丈 夫} {s7}的 旗 幟。 
str__the_banner_of_your_wifehusband_s7_flies_over_the_town_gates|你 看 見 城 鎮 的 大 門 上 飄 揚 著 你 {妻 子/丈 夫} {s7}的 旗 幟。 
str__the_lord_is_currently_holding_a_feast_in_his_hall|^ 領 主 正 在 廳 堂 裡 大 宴 賓 客。 
str__join_the_feast|( 參 加 宴 會 ) 
str_belligerent_drunk_in_s4|鬧 事 的 酒 鬼 在 {s4}
str_belligerent_drunk_not_found|鬧 事 的 酒 鬼 沒 有 找 到 
str_roughlooking_character_in_s4|相 貌 粗 野 的 人 在 {s4}
str_roughlooking_character_not_found|相 貌 粗 野 的 人 沒 有 找 到 
str__however_you_have_sufficiently_distinguished_yourself_to_be_invited_to_attend_the_ongoing_feast_in_the_lords_castle|不 過， 你 贏 得 了 充 分 的 資 格， 受 邀 進 入 領 主 的 城 堡， 參 加 正 在 進 行 中 的 宴 會。 
str_s8_you_are_also_invited_to_attend_the_ongoing_feast_in_the_castle|{s8}。 你 也 被 邀 請 參 加 城 堡 裡 正 在 進 行 的 宴 會。 
str_s11_unfortunately_s12_was_wounded_and_had_to_be_left_behind|{s11}不 幸 的 是， {s12}受 傷 了， 被 迫 離 開。 
str_s11_also_s12_was_wounded_and_had_to_be_left_behind|{s11}同 樣 的， {s12}受 傷 了， 被 迫 離 開。 
str_with_the_s10|和 {s10}
str_outside_calradia|卡 拉 迪 亞 之 外。 
str_you_have_been_indicted_for_treason_to_s7_your_properties_have_been_confiscated_and_you_would_be_well_advised_to_flee_for_your_life|你 被 {s7}控 告 犯 下 了 叛 國 罪， 你 所 有 的 財 產 都 已 被 查 抄， 為 了 生 存， 你 必 須 馬 上 逃 離 這 裡， 越 快 越 好。 
str_by_order_of_s6_s4_of_the_s5_has_been_indicted_for_treason_the_lord_has_been_stripped_of_all_reg4herhis_properties_and_has_fled_for_reg4herhis_life_he_is_rumored_to_have_gone_into_exile_s11|在 {s6}的 命 令 下， {s5}的 {s4}以 叛 國 的 罪 名 被 指 控。 為 了 保 住 {reg4?她 的 :他 的 }性 命， 這 位 領 主 迅 速 逃 離 了 這 個 國 家， 之 後， {reg4?她 的 :他 的 }所 有 財 產 都 被 下 令 充 公。 有 傳 言 說， 這 位 領 主 是 被 流 放 到 了 {s11}。 
str_local_notables_from_s1_a_village_claimed_by_the_s4_have_been_mistreated_by_their_overlords_from_the_s3_and_petition_s5_for_protection|{s1}村 是 {s3}的 {s4}的 領 地， 但 是 他 們 的 領 主 屢 屢 對 他 們 做 出 暴 行。 因 此， 一 位 該 地 的 著 名 人 士 作 為 代 表 請 求 {s5}給 予 他 們 保 護。 
str_villagers_from_s1_stole_some_cattle_from_s2|{s1}的 村 民 們 從 {s2}偷 走 了 一 些 牛 
str_villagers_from_s1_abducted_a_woman_from_a_prominent_family_in_s2_to_marry_one_of_their_boys|{s1}的 村 民 為 村 子 裡 的 一 個 年 輕 人 綁 架 了 一 位 來 自 {s2}最 顯 赫 家 族 之 一 的 女 性 作 為 妻 子 
str_villagers_from_s1_killed_some_farmers_from_s2_in_a_fight_over_the_diversion_of_a_stream|{s1}的 一 些 村 民 在 和 {s2}村 爭 奪 改 道 的 水 源 時 殺 死 了 一 名 村 民 
str_your_new_minister_|你 的 新 首 席 大 臣 
str_s10_is_your_new_minister_and_|{s10}是 你 的 新 首 席 大 臣， 以 及 
str_due_to_the_fall_of_s10_your_court_has_been_relocated_to_s12|在 失 去 {s10}後， 你 轉 而 服 侍 {s11}
str_after_to_the_fall_of_s10_your_faithful_vassal_s9_has_invited_your_court_to_s11_|在 失 去 {s10}後， 你 忠 誠 的 屬 下 {s9}邀 請 {s11}你 為 服 務 
str_after_to_the_fall_of_s11_your_court_has_nowhere_to_go|在 失 去 {s11}後， 你 失 去 了 可 以 效 忠 的 對 像 
str_s8_wishes_to_inform_you_that_the_lords_of_s9_will_be_gathering_for_a_feast_at_his_great_hall_in_s10_and_invites_you_to_be_part_of_this_august_assembly|{s9}的 {s8}通 知 你 他 將 在 他 位 於 {s10}的 大 廳 舉 辦 一 場 豪 華 的 宴 會， 他 希 望 你 能 受 邀 作 為 來 賓 之 一 參 加 這 場 尊 貴 的 宴 會。 
str_consult_with_s11_at_your_court_in_s12|在 你 的 {s12}的 宮 廷 與 {s11}商 議 
str_as_brief_as_our_separation_has_been_the_longing_in_my_heart_to_see_you_has_made_it_seem_as_many_years|盡 管 我 們 只 分 別 了 短 短 的 一 段 日 子， 但 是 我 內 心 在 對 你 那 強 烈 的 思 念 的 煎 熬 下， 簡 直 度 日 如 年。 
str_although_it_has_only_been_a_short_time_since_your_departure_but_i_would_be_most_pleased_to_see_you_again|盡 管 我 們 只 有 短 短 一 段 時 間 沒 有 見 面， 再 次 見 到 你 的 喜 悅 卻 是 如 此 的 強 烈。 
str_although_i_have_received_no_word_from_you_for_quite_some_time_i_am_sure_that_you_must_have_been_very_busy_and_that_your_failure_to_come_see_me_in_no_way_indicates_that_your_attentions_to_me_were_insincere_|我 已 經 很 久 沒 有 你 的 消 息 了。 我 當 然 知 道 你 一 定 很 忙， 以 至 於 沒 有 時 間 來 探 望 我。 這 可 不 是 你 對 我 失 去 興 趣 的 表 現， 是 吧？ 
str_i_trust_that_you_have_comported_yourself_in_a_manner_becoming_a_gentleman_during_our_long_separation_|我 相 信 在 我 們 長 久 的 分 離 之 中 你 一 直 保 持 著 你 的 紳 士 舉 止。 
str_it_has_been_many_days_since_you_came_and_i_would_very_much_like_to_see_you_again|自 從 我 上 次 見 到 你 已 經 過 去 很 久 了， 如 果 能 再 見 到 你， 我 會 非 常 高 興 的。 
str__you_should_ask_my_s11_s16s_permission_but_i_have_no_reason_to_believe_that_he_will_prevent_you_from_coming_to_see_me|你 應 該 先 征 得 我 {s11}{s16}的 許 可， 可 是 我 沒 有 任 何 理 由 相 信 他 會 阻 止 你 來 見 我。 
str__you_should_first_ask_her_s11_s16s_permission|。 你 應 該 首 先 征 得 她 {s11}{s16}的 許 可 
str__alas_as_we_know_my_s11_s16_will_not_permit_me_to_see_you_however_i_believe_that_i_can_arrange_away_for_you_to_enter_undetected|唉！ ！ 就 如 我 們 所 猜 想 的， 我 的 {s11}{s16}不 會 允 許 我 們 見 面， 但 我 可 以 安 排 和 你 秘 密 約 會 的 方 法。 
str__as_my_s11_s16_has_already_granted_permission_for_you_to_see_me_i_shall_expect_your_imminent_arrival|既 然 我 的 {s11}{s16}已 經 允 許 我 們 相 見， 我 希 望 我 很 快 就 能 再 見 到 你。 
str_visit_s3_who_was_last_at_s4s18|拜 訪 {s3}， 此 人 最 近 出 現 在 {s4}{s18}
str_the_guards_at_the_gate_have_been_ordered_to_allow_you_through_you_might_be_imagining_things_but_you_think_one_of_them_may_have_given_you_a_wink|大 門 的 守 衛 已 經 接 到 允 許 你 出 入 的 命 令， 而 且 你 看 到 其 中 一 位 守 衛 意 味 深 長 地 向 你 眨 了 眨 眼。 
str_the_guards_glare_at_you_and_you_know_better_than_to_ask_permission_to_enter_however_as_you_walk_back_towards_your_lodgings_an_elderly_lady_dressed_in_black_approaches_you_i_am_s11s_nurse_she_whispers_urgently_don_this_dress_and_throw_the_hood_over_your_face_i_will_smuggle_you_inside_the_castle_to_meet_her_in_the_guise_of_a_skullery_maid__the_guards_will_not_look_too_carefully_but_i_beg_you_for_all_of_our_sakes_be_discrete|守 衛 怒 視 著 你， 而 你 知 道 還 是 別 去 碰 釘 子 了。 然 而， 當 你 往 回 走 向 你 的 寄 宿 處 的 時 候， 一 個 黑 衣 老 婦 人 走 近 了 你。 “我 是 {s11}的 侍 女， ” 她 快 速 低 語 道。 “穿 上 這 裙 子， 用 這 頭 巾 蓋 住 你 的 臉。 我 會 把 你 偽 裝 成 女 幫 廚 偷 偷 帶 進 這 城 堡 去 見 她— — 守 衛 不 會 看 得 很 仔 細。 但 是 我 請 求 你， 為 了 咱 們 的 好 處， 小 心 點！ 
str_the_guards_glare_at_you_and_you_know_better_than_to_ask_permission_to_enter_however_as_you_walk_back_towards_your_lodgings_an_elderly_lady_dressed_in_black_approaches_you_i_am_s11s_nurse_she_whispers_urgently_wait_for_a_while_by_the_spring_outside_the_walls_i_will_smuggle_her_ladyship_out_to_meet_you_dressed_in_the_guise_of_a_shepherdess_but_i_beg_you_for_all_of_our_sakes_be_discrete|守 衛 怒 視 著 你， 而 你 知 道 還 是 別 去 碰 釘 子 了。 然 而， 當 你 往 回 走 向 你 的 寄 宿 處 的 時 候， 一 個 黑 衣 老 婦 人 走 近 了 你。 “我 是 {s11}的 侍 女， ” 她 快 速 低 語 道。 “在 牆 外 的 泉 水 邊 等 一 會 兒。 我 會 把 小 姐 閣 下 偽 裝 成 牧 羊 女 偷 偷 帶 出 來 見 你。 但 是 我 請 求 你， 為 了 咱 們 的 好 處， 小 心 點！ 
str_the_guards_glare_at_you_and_you_know_better_than_to_ask_permission_to_enter_however_as_you_walk_back_towards_your_lodgings_an_elderly_lady_dressed_in_black_approaches_you_i_am_s11s_nurse_she_whispers_urgently_her_ladyship_asks_me_to_say_that_yearns_to_see_you_but_that_you_should_bide_your_time_a_bit_her_ladyship_says_that_to_arrange_a_clandestine_meeting_so_soon_after_your_last_encounter_would_be_too_dangerous|守 衛 怒 視 著 你， 你 也 知 道 還 是 別 去 碰 釘 子 了。 然 而， 當 你 往 回 走 向 你 的 寄 宿 處 的 時 候， 一 個 黑 衣 老 婦 人 走 近 了 你。 “我 是 {s11}的 侍 女， ” 她 快 速 低 語 道。 “小 姐 閣 下 說 她 想 見 你， 但 是 你 得 忍 耐 一 段 時 間。 小 姐 閣 下 說 距 離 上 次 碰 面 這 麼 短 的 時 間 又 安 排 一 次 秘 密 會 面 太 危 險 了。 ” 
str_the_guards_glare_at_you_and_you_know_better_than_to_ask_permission_to_enter|守 衛 對 你 怒 目 而 視， 他 的 舉 動 讓 你 明 白 在 這 裡 你 不 會 受 歡 迎。 
str_party_with_commander_mismatch__check_log_for_details_|部 隊 指 揮 官 匹 配 錯 誤— — 查 看 日 志 文 件 以 獲 得 詳 細 情 況 
str_doing_political_calculations_for_s9|為 {s9}做 政 治 考 慮 
str_current_wealth_reg1|當 前 財 富： {reg1}第 納 爾 
str_wanted_bandits_spotted_by_s4|被 追 捕 的 強 盜 被 {s4}發 現 
str_s4_ready_to_voice_objection_to_s3s_mission_if_in_party|如 果 在 隊 伍 中， {s4}准 備 表 示 反 對 {s3}的 任 務 
str_strange_that_one_didnt_seem_like_your_ordenary_troublemaker_he_didnt_drink_all_that_much__he_just_stood_there_quietly_and_watched_the_door_you_may_wish_to_consider_whether_you_have_any_enemies_who_know_you_are_in_town_a_pity_that_blood_had_to_be_spilled_in_my_establishment|奇 怪。 那 個 人 不 像 是 個 普 通 的 找 你 麻 煩 的。 他 喝 的 並 不 多— — 他 只 是 站 在 那 裡， 安 靜 地， 注 視 著 那 扇 門。 你 也 許 要 考 慮 是 否 有 敵 人 知 道 你 在 鎮 子 裡… … 很 遺 憾 在 我 的 地 盤 上 要 流 血 了… … 
str_you_never_let_him_draw_his_weapon_still_it_looked_like_he_was_going_to_kill_you_take_his_sword_and_purse_i_suppose_he_was_trouble_but_its_not_good_for_an_establishment_to_get_a_name_as_a_place_where_men_are_killed|你 沒 有 給 他 拔 出 武 器 的 機 會… … 他 看 起 來 確 實 是 來 刺 殺 你 的， 長 袍 下 藏 著 他 的 武 器 和 雇 主 用 來 交 換 你 性 命 的 錢 袋。 他 是 個 麻 煩， 但 是， 還 不 至 於 要 讓 你 的 地 產 被 扣 上 殺 人 凶 宅 的 惡 名。 
str_well_id_say_that_he_started_it_that_entitles_you_to_his_sword_and_purse_i_suppose_have_a_drink_on_the_house_as_i_daresay_youve_saved_a_patron_or_two_a_broken_skull_still_i_hope_he_still_has_a_pulse_its_not_good_for_an_establishment_to_get_a_name_as_a_place_where_men_are_killed|好 了… … 我 得 說 是 他 挑 起 事 端 的。 我 覺 得 你 有 權 享 有 他 的 劍 和 錢 包。 到 屋 子 裡 來 喝 一 杯， 我 猜 想 你 救 了 這 裡 的 一 兩 個 顧 客 不 至 於 被 砍 開 腦 殼。 但 是， 我 希 望 那 個 人 還 有 脈 搏。 一 個 店 家 有 人 在 那 裡 被 殺 的 名 聲 可 不 好。 
str_stop_no_shooting_no_shooting|住 手！ 不 要 射 擊！ 不 要 射 擊！ 
str_em_ill_stay_out_of_this|呃… … 我 不 參 與 這 個。 
str_the_s12_is_a_labyrinth_of_rivalries_and_grudges_lords_ignore_their_lieges_summons_and_many_are_ripe_to_defect|{s12}是 一 個 充 滿 了 惡 意 和 爭 奪 的 迷 宮， 領 主 們 將 君 主 的 召 喚 置 之 不 理， 並 且 做 好 了 隨 時 改 換 門 庭 的 准 備。 
str_the_s12_is_shaky_many_lords_do_not_cooperate_with_each_other_and_some_might_be_tempted_to_defect_to_a_liege_that_they_consider_more_worthy|{s12}十 分 脆 弱， 大 多 數 領 主 之 間 毫 無 團 結 可 言， 還 有 一 些 人 很 可 能 會 因 為 誘 惑 而 轉 投 向 他 們 認 為 更 值 得 效 忠 的 君 主。 
str_the_s12_is_fairly_solid_some_lords_bear_enmities_for_each_other_but_they_tend_to_stand_together_against_outside_enemies|{s12}非 常 穩 固， 一 些 領 主 間 可 能 互 相 懷 有 敵 意， 但 是 一 旦 有 外 敵 入 侵， 他 們 總 是 會 團 結 起 來 一 致 對 外。 
str_the_s12_is_a_rock_of_stability_politically_speaking_whatever_the_lords_may_think_of_each_other_they_fight_as_one_against_the_common_foe|按 照 官 方 的 說 法， {s12}穩 如 磐 石。 領 主 們 可 能 會 對 其 他 人 略 有 不 滿， 但 是 在 共 同 的 敵 人 面 前 他 們 彼 此 團 結 的 緊 密 無 間。 
str_tribune_s12|護 民 官 {s12}
str_lady_s12|{s12}小 姐 
str_lord_s12|{s12}領 主 
str_resolve_the_dispute_between_s11_and_s12|解 決 {s11}和 {s12}的 爭 執 
str_in_doing_so_you_will_be_in_violation_of_your_truce_is_that_what_you_want|這 樣 做 將 會 打 破 你 的 停 戰 協 定， 你 確 定 要 這 麼 做 嗎？ 
str_if_you_attack_without_provocation_some_of_your_vassals_may_consider_you_to_be_too_warlike_is_that_what_you_want|如 果 你 毫 無 理 由 的 開 戰， 你 的 一 些 領 主 們 會 認 為 你 好 戰 如 狂， 你 確 定 要 這 麼 做 嗎？ 
str_our_men_are_ready_to_ride_forth_at_your_bidding_are_you_sure_this_is_what_you_want|我 們 的 部 隊 已 經 整 裝 待 發， 只 等 你 的 一 聲 令 下， 你 確 定 要 這 麼 做 嗎？ 
str_seek_recognition|尋 求 賞 識 
str_seek_vassalhood|尋 求 作 為 封 臣 
str_seek_a_truce|尋 求 休 戰 
str__promised_fief|（許 諾 封 地） 
str_no_fiefss12|（無 封 地） {s12}
str_fiefs_s0s12|（封 地： {s0}{s12}） 
str_please_s65_|請 {s65}， 
str__s15_is_also_being_held_here_and_you_may_wish_to_see_if_reg4shehe_will_join_us|{s15}已 經 被 我 們 所 控 制， 你 想 試 著 說 服 {reg4?她 :他 }加 入 嗎？ 
str_one_thing_in_our_favor_is_that_s12s_grip_is_very_shaky_he_rules_over_a_labyrinth_of_rivalries_and_grudges_lords_often_fail_to_cooperate_and_many_would_happily_seek_a_better_liege|{s12}的 統 治 非 常 脆 弱， 這 對 我 們 而 言 的 確 是 一 個 好 消 息。 他 治 下 的 領 主 們 彼 此 猜 忌， 充 滿 了 爭 鬥 和 敵 意， 而 且 很 多 人 會 很 高 興 打 開 城 門 歡 迎 一 個 更 好 的 君 主。 
str_thankfully_s12s_grip_is_fairly_shaky_many_lords_do_not_cooperate_with_each_other_and_some_might_be_tempted_to_seek_a_better_liege|幸 運 的 是， {s12}的 統 治 非 常 脆 弱， 領 主 們 缺 乏 合 作， 互 相 猜 忌， 而 且 很 多 人 會 很 高 興 打 開 城 門 歡 迎 一 個 更 好 的 君 主。 
str_unfortunately_s12s_grip_is_fairly_strong_until_we_can_shake_it_we_may_have_to_look_long_and_hard_for_allies|不 幸 的 是， {s12}的 統 治 非 常 穩 固。 除 非 我 們 找 到 動 搖 其 統 治 的 手 段， 我 們 必 須 多 觀 望 一 段 時 間， 努 力 找 到 在 他 內 部 的 盟 友。 
str_unfortunately_s12s_grip_is_very_strong_unless_we_can_loosen_it_it_may_be_difficult_to_find_allies|不 幸 的 是， {s12}的 統 治 極 其 穩 固。 除 非 我 們 能 想 辦 法 讓 他 們 產 生 動 搖， 否 則 我 們 很 難 找 到 內 部 的 盟 友。 
str_playername_come_to_plague_me_some_more_have_you|{playername}… … 我 猜 你 是 來 給 我 更 多 麻 煩 和 痛 苦 的， 不 是 嗎？ 
str_ah_it_is_you_again|啊。 又 是 你… … 
str_well_playername|那 麼， {playername} 
str_flagon_of_mead|一 壺 蜂 蜜 
str_skin_of_kumis|一 囊 馬 奶 酒 
str_mug_of_kvass|一 罐 淡 啤 酒 
str_cup_of_wine|一 杯 葡 萄 酒 
str_you_intend_to_challenge_s13_to_force_him_to_retract_an_insult|你 決 定 向 {s13}提 出 挑 戰 以 使 他 收 回 他 的 侮 辱。 
str_youll_have_to_speak_to_me_at_some_other_time_then|我 們 換 個 時 間 再 討 論 這 個 話 題 吧。 
str_this_is_no_time_for_words|沒 時 間 廢 話 了！ 
str_of_course_my_wife|當 然， 我 的 妻 子。 
str_perhaps_not_our_marriage_has_become_a_bit_strained_dont_you_think|我 不 這 樣 認 為， 我 們 的 婚 姻 關 系 變 得 有 點 緊 張， 你 不 覺 得 嗎？ 
str_why_is_that_my_wife_actually_our_marriage_has_become_such_that_i_prefer_to_have_a_witness_for_all_of_our_converations|我 的 妻 子， 為 什 麼 會 變 成 這 樣 呢？ 當 然， 我 們 的 婚 姻 確 實 變 得 如 此， 以 至 於 我 選 擇 找 一 個 證 人 見 證 我 們 所 有 的 談 話。 
str_all_right_then_what_do_you_have_to_say_out_with_it|好 吧， 除 了 這 個， 你 還 有 什 麼 要 說 的 嗎？ 
str_bah__im_in_no_mood_for_whispering_in_the_corner|呸， 我 對 在 角 落 裡 的 竊 竊 私 語 和 密 謀 沒 有 興 趣。 
str_bah_i_dont_like_you_that_much_im_not_going_to_go_plot_with_you_in_some_corner|呸， 我 對 你 厭 惡 至 極， 我 才 不 會 和 你 在 陰 暗 的 角 落 討 論 肮 髒 的 陰 謀！ 
str_well__now_what_do_you_have_to_propose|好 吧， 你 的 計 劃 是 什 麼？ 
str_trying_our_hand_at_intrigue_are_we_i_think_not|我 們 要 一 起 為 這 個 陰 謀 冒 險 嗎？ 我 才 不 會 呢。 
str_hah_i_trust_you_as_a_i_would_a_serpent_i_think_not|哈 哈， 我 對 你 的 信 任 不 比 對 全 世 界 任 何 一 條 毒 蛇 更 高， 我 拒 絕。 
str_i_do_not_like_to_conduct_my_business_in_the_shadows_but_sometimes_it_must_be_done_what_do_you_have_to_say|我 並 不 想 參 與 你 那 些 見 不 得 人 的 計 劃， 但 是 有 時 這 也 是 無 可 奈 何 的。 你 都 有 什 麼 想 法？ 
str_i_would_prefer_to_conduct_our_affairs_out_in_the_open|我 更 希 望 把 我 們 的 事 務 公 之 於 眾。 
str_do_not_take_this_amiss_but_with_you_i_would_prefer_to_conduct_our_affairs_out_in_the_open|如 果 是 與 你 合 作 的 話， 我 更 希 望 把 我 們 的 事 務 公 開。 
str_hmm_you_have_piqued_my_interest_what_do_you_have_to_say|嗯… … 你 激 起 了 我 的 興 趣， 說 說 你 的 想 法 吧。 
str_em_lets_keep_our_affairs_out_in_the_open_for_the_time_being|呃… … 至 少 在 眼 前， 還 是 繼 續 讓 我 們 的 事 務 秘 密 進 行 吧。 
str_thats_sensible__the_world_is_full_of_churls_who_poke_their_noses_into_their_betters_business_now_tell_me_what_it_is_that_you_have_to_say|很 明 智— — 這 個 世 界 上 到 處 都 是 些 成 事 不 足 敗 事 有 余 的 家 伙。 現 在 告 訴 我 你 都 有 什 麼 想 法。 
str_what_do_you_take_me_for_a_plotter|你 想 讓 我 做 什 麼？ 一 個 密 謀 者？ 
str_well_i_normally_like_to_keep_things_out_in_the_open_but_im_sure_someone_like_you_would_not_want_to_talk_in_private_unless_heshe_had_a_good_reason_what_is_it|一 般 情 況 下， 我 比 較 喜 歡 保 持 事 成 後 再 公 開， 但 是 我 知 道 你 是 那 種 不 願 意 參 與 密 謀 的 人， 除 非 有 一 個 很 好 的 理 由。 說 說 你 的 理 由 吧？ 
str_surely_we_can_discuss_whatever_you_want_to_discuss_out_here_in_the_open_cant_we|我 確 定 你 想 談 論 的 事 情 我 們 可 以 另 選 一 個 地 方 光 明 正 大 的 談， 不 是 嗎？ 
str_im_a_simple__man_not_one_for_intrigue_but_id_guess_that_you_have_something_worthwhile_to_say_what_is_it|我 是 一 個 直 性 子， 不 擅 長 什 麼 計 謀。 但 是 我 確 定 你 有 一 些 非 常 有 價 值 的 事 情 要 和 我 談， 不 是 嗎？ 
str_forgive_me_but_im_not_one_for_going_off_in_corners_to_plot|請 你 原 諒， 但 我 可 不 是 一 個 願 意 躲 在 角 落 裡 做 什 麼 密 謀 的 人。 
str_please_do_not_take_this_amiss_but_i_do_not_trust_you|別 犯 這 種 錯 誤， 但 我 還 不 信 任 你。 
str_certainly_playername_what_is_it|當 然， {playername}。 你 想 說 些 什 麼？ 
str_forgive_me_but_id_prefer_to_keep_our_conversations_in_the_open|請 你 原 諒， 我 不 會 公 開 我 們 剛 才 的 談 話 的。 
str_please_do_not_take_this_amiss_but_im_not_sure_you_and_i_are_still_on_those_terms|別 犯 這 種 錯 誤， 否 則 我 不 確 定 你 我 之 間 是 否 還 能 保 持 這 樣 的 友 誼。 
str_really_well_this_is_the_first_i_have_heard_of_it_unless_you_build_up_support_for_that_claim_you_may_find_it_difficult_to_find_allies_however_whenever_you_see_fit_to_declare_yourself_publically_as_queen_i_should_be_honored_to_be_your_consort|真 的 嗎？ 好 吧， 這 是 我 第 一 次 聽 到 這 件 事。 除 非 你 為 稱 王 做 好 了 足 夠 的 准 備 並 得 到 足 夠 的 支 持， 否 則 你 將 會 發 現 你 很 難 找 到 同 盟。 不 過， 當 你 准 備 好 公 開 宣 告 自 己 為 女 王 時， 我 會 很 榮 幸 成 為 你 的 配 偶。 
str_yes_i_have_heard_such_talk_while_it_is_good_that_you_are_building_up_your_support_i_do_not_think_that_you_are_quite_ready_to_proclaim_yourself_yet_however_i_will_let_you_be_the_judge_of_that_and_when_you_decide_i_should_be_honored_to_be_your_consort|不 錯， 我 已 經 聽 說 過 這 類 談 話。 雖 然 你 正 在 爭 取 對 你 的 支 持， 這 樣 做 很 好， 但 是 我 認 為 你 還 不 足 以 稱 王。 不 過， 我 會 讓 你 來 權 衡 這 件 事， 並 且 一 旦 你 做 出 決 斷， 我 將 十 分 榮 幸 地 站 到 你 這 邊 來。 
str_yes_and_many_others_in_calradia_think_so_as_well_perhaps_it_is_time_that_you_declared_yourself_and_we_shall_ride_forth_together_to_claim_your_throne_i_should_be_honored_to_be_your_consort|是 的， 而 且 在 卡 拉 迪 亞 許 多 別 的 人 也 都 這 麼 想。 或 許 這 是 你 發 出 宣 告 的 時 候 了， 我 們 會 向 你 效 忠， 而 且 我 會 很 榮 幸 成 為 你 的 配 偶。 
str_i_am_disturbed_about_my_lord_s15s_choice_of_companions|我 為 我 大 人 {s15}選 擇 伙 伴 的 品 味 而 感 到 深 深 的 困 擾。 
str_well_ill_be_honest_i_feel_that_sometimes_s15_overlooks_my_rights_and_extends_his_protection_to_the_unworthy|好 吧， 說 實 在 的， 我 覺 得 {s15}常 常 忽 視 我 的 權 益， 而 重 視 和 保 護 那 些 不 值 一 提 的 人 和 事。 
